# mcs, cbs, sinr, bler
2,3624.00,-0.95,0.063
3,3624.00,-0.37,0.008
4,3752.00,0.60,0.000
5,3752.00,1.21,0.091
6,3752.00,2.14,0.009
7,3752.00,2.80,0.044
8,3752.00,3.62,0.011
9,3752.00,4.16,0.100
10,3752.00,4.85,0.087
11,3752.00,5.83,0.013
12,3752.00,6.53,0.002
13,3752.00,7.00,0.012
14,3752.00,7.80,0.012
15,3752.00,8.70,0.004
16,3752.00,9.56,0.014
17,3752.00,10.37,0.096
18,3752.00,11.21,0.008
19,3752.00,12.10,0.001
20,3752.00,12.60,0.002
21,3752.00,13.25,0.043
22,3752.00,14.40,0.007
23,3752.00,15.23,0.017
24,3752.00,16.27,0.013
25,272.00,17.94,0.096
26,272.00,19.46,0.087
27,256.00,24.76,0.087
